task_id,trial_id,input,target
2,7,"[-3.350818157196045, 0.2426958680152893, 1.138642430305481, -0.8287516832351685]",0.0
2,8,"[0.7642594575881958, -1.0524119138717651, -0.05381321907043457, -0.1334524154663086]",0.0
2,9,"[1.2545912265777588, 0.794651985168457, -2.753976583480835, -1.8300209045410156]",1.0
2,10,"[-1.0871965885162354, 3.1365487575531006, 0.40263479948043823, 2.5364813804626465]",1.0
2,11,"[0.5979260206222534, 0.48564642667770386, 2.5886096954345703, 2.553192615509033]",1.0
2,12,"[0.23044449090957642, -0.979435920715332, 0.6628323197364807, 0.09022998809814453]",0.0
2,13,"[-2.4031760692596436, 0.09467878937721252, 0.6919899582862854, -1.9642987251281738]",0.0
2,14,"[-0.6905229091644287, 0.21805882453918457, -1.0895514488220215, -0.678428053855896]",0.0
2,15,"[0.61167311668396, 2.258057117462158, -1.5770888328552246, 0.6098366379737854]",1.0
2,16,"[-0.60100257396698, 1.5789917707443237, 0.16023039817810059, 0.7217917442321777]",1.0
2,17,"[-1.5484061241149902, 0.5663681030273438, 1.3229262828826904, 0.024424493312835693]",0.0
2,18,"[0.8573142290115356, 0.7281681299209595, 2.1413803100585938, 0.733099639415741]",1.0
2,19,"[2.012235403060913, 0.3673466444015503, 0.07669186592102051, 1.1112933158874512]",1.0
3,0,"[0.19779056310653687, -1.002280354499817, -2.4798293113708496, 0.7945058941841125]",0.0
3,1,"[-1.087033987045288, -2.0968856811523438, 0.19043272733688354, 0.7115824818611145]",0.0
3,2,"[-1.3752524852752686, -0.928586483001709, -0.7769776582717896, 1.407244086265564]",1.0
3,3,"[2.171297073364258, -0.5093326568603516, 1.2946367263793945, 0.08895927667617798]",0.0
3,4,"[3.052277088165283, -0.32432469725608826, 0.9503340721130371, -3.388652801513672]",0.0
3,5,"[1.0389035940170288, -0.1888185739517212, -1.0368685722351074, -2.1184439659118652]",0.0
3,6,"[1.0726830959320068, -2.789124011993408, 0.6698153018951416, -0.9443033337593079]",0.0
3,7,"[-1.287998080253601, 1.285002589225769, 0.7833336591720581, -1.4089672565460205]",1.0
3,8,"[1.5491490364074707, -0.08812201023101807, 0.6170793175697327, 0.777337908744812]",0.0
3,9,"[-1.1210381984710693, 2.21689510345459, -0.6018790006637573, 1.2438759803771973]",1.0
3,10,"[-1.6559034585952759, -0.8419429063796997, 0.2998464107513428, -1.407405138015747]",1.0
3,11,"[-1.4748018980026245, -2.131000518798828, 0.7222585678100586, 2.2683675289154053]",0.0
3,12,"[-0.4576474726200104, 1.364820122718811, -1.9528477191925049, -1.255284309387207]",1.0
3,13,"[-0.44421619176864624, -2.5593619346618652, -1.132223129272461, 1.4254300594329834]",0.0
3,14,"[-0.9322141408920288, -1.5017948150634766, -0.8297958374023438, 2.2446579933166504]",0.0
3,15,"[-2.424002170562744, 0.6016051769256592, 0.4760934114456177, 2.193286418914795]",1.0
3,16,"[0.5149381756782532, -0.03640665113925934, -0.6759923696517944, 0.06500834226608276]",0.0
3,17,"[2.9701950550079346, -2.1962993144989014, -0.466935396194458, 1.0474295616149902]",0.0
3,18,"[0.027394860982894897, 0.8472151756286621, 1.4125193357467651, -1.774571180343628]",1.0
3,19,"[-2.795564651489258, -1.5832439661026, 0.045343294739723206, -0.6165437698364258]",1.0
4,0,"[-1.385513424873352, 1.872999668121338, -0.1104411780834198, 2.9309146404266357]",0.0
4,1,"[0.30245789885520935, -0.8720189332962036, 1.4494657516479492, -0.2498440146446228]",1.0
4,2,"[1.279372215270996, -2.78458309173584, 1.7024083137512207, -0.8846887946128845]",1.0
4,3,"[0.21430933475494385, -0.9576331377029419, -0.34476542472839355, 2.5658164024353027]",1.0
4,4,"[0.7285473346710205, -0.02679923176765442, -0.55826336145401, 1.0328118801116943]",1.0
4,5,"[0.4601086378097534, 0.7169646620750427, -1.3753774166107178, -0.43395864963531494]",0.0
4,6,"[-2.324171543121338, 0.9681023359298706, 1.3355200290679932, -1.3904826641082764]",0.0
4,7,"[1.0584505796432495, 0.1836334466934204, -1.348348617553711, 0.48588815331459045]",1.0
4,8,"[0.6420866250991821, -0.9386324882507324, 0.21750250458717346, -1.3743746280670166]",1.0
4,9,"[-0.23611021041870117, -0.5861372947692871, 1.129739761352539, 2.477250814437866]",1.0
4,10,"[-3.0040574073791504, 3.6466658115386963, 1.1854302883148193, 4.350676536560059]",0.0
4,11,"[1.4195036888122559, -0.7236638069152832, -1.2130650281906128, 0.08482670783996582]",1.0
4,12,"[-0.005442261695861816, -0.7069652080535889, 0.4695533514022827, -0.40205657482147217]",1.0
4,13,"[-1.8234455585479736, 0.31834203004837036, 2.3389079570770264, 1.6473114490509033]",0.0
4,14,"[3.052827835083008, -4.953550338745117, 2.2651896476745605, -4.208035469055176]",1.0
4,15,"[-1.9517265558242798, 1.699721097946167, 0.4991496205329895, 3.509552478790283]",0.0
4,16,"[1.6369130611419678, -0.7522319555282593, -0.20797747373580933, -0.37815409898757935]",1.0
4,17,"[-0.68165123462677, -0.7795118093490601, 2.1449623107910156, -0.5309092998504639]",1.0
4,18,"[1.152039647102356, -0.6920796036720276, 0.19748136401176453, -0.1584019660949707]",1.0
4,19,"[1.9248987436294556, -2.405529022216797, -0.15586304664611816, -2.109145402908325]",1.0
5,0,"[0.322155624628067, -0.16600340604782104, -0.8743096590042114, 0.2708812952041626]",0.0
5,1,"[-0.8048288822174072, -1.8805683851242065, 2.3930823802948, 1.627545714378357]",0.0
5,2,"[-0.343778133392334, -1.1819097995758057, -0.467509925365448, 1.1206241846084595]",0.0
5,3,"[-0.6534417867660522, -1.558210849761963, 1.229623794555664, 0.7956876754760742]",0.0
5,4,"[-0.24601618945598602, -0.24716117978096008, 1.9307117462158203, 1.3347878456115723]",0.0
5,5,"[-0.49117329716682434, 1.5131598711013794, -0.4577062427997589, -1.3625757694244385]",1.0
5,6,"[1.379138708114624, -1.0701478719711304, -0.9627166986465454, -0.39907169342041016]",0.0
5,7,"[-0.3850822448730469, -1.3865793943405151, -0.3439233601093292, 1.5151835680007935]",0.0
5,8,"[-0.2883961796760559, -1.3322035074234009, -1.5017576217651367, 0.4603169560432434]",1.0
5,9,"[-1.2066770792007446, -0.9019351005554199, -0.6577414274215698, -0.2869369089603424]",1.0
5,10,"[1.796142578125, -0.580919623374939, 1.2614704370498657, -1.9112348556518555]",0.0
5,11,"[-0.07171033322811127, 1.4639889001846313, -0.1149010956287384, -1.9641529321670532]",1.0
5,12,"[-0.5984562039375305, 2.628931999206543, -2.457005262374878, 0.6774319410324097]",1.0
5,13,"[0.5228595733642578, -0.42065882682800293, -0.05516555905342102, 0.18764090538024902]",0.0
5,14,"[2.346695899963379, -2.906973361968994, -1.7843354940414429, 0.5636240243911743]",0.0
5,15,"[0.9969691038131714, -1.5927528142929077, 1.3626816272735596, -0.43051785230636597]",0.0
5,16,"[-1.7730554342269897, 0.8541916608810425, 2.3128819465637207, 0.31310218572616577]",1.0
5,17,"[-0.7463201880455017, 0.6623522043228149, 0.17178276181221008, -0.8586231470108032]",1.0
5,18,"[2.1301605701446533, -2.5273473262786865, -0.6705557107925415, 1.345757246017456]",0.0
5,19,"[2.3078274726867676, -2.6281092166900635, -2.401690721511841, 2.411552906036377]",0.0
6,0,"[4.839239120483398, 1.779222846031189, -2.538576602935791, -0.43498435616493225]",0.0
6,1,"[-0.665213942527771, 0.6140903234481812, 2.6810855865478516, -3.4536211490631104]",1.0
6,2,"[0.8601994514465332, 0.7429987788200378, -1.7103408575057983, 2.1076531410217285]",0.0
6,3,"[1.0245435237884521, 0.014797210693359375, -1.6440954208374023, 0.643048882484436]",0.0
6,4,"[-1.1400648355484009, -2.0931458473205566, 0.509985089302063, 0.35550573468208313]",1.0
6,5,"[0.888709545135498, 0.3025903105735779, -0.2899399995803833, 0.7804620265960693]",0.0
6,6,"[0.7727711796760559, 0.6411823034286499, -1.6653738021850586, 2.9183268547058105]",0.0
6,7,"[-1.3446292877197266, -0.33426433801651, -0.3088963031768799, -0.3480813205242157]",1.0
6,8,"[-0.28634917736053467, 0.26895755529403687, -0.5426011681556702, 1.8825280666351318]",0.0
6,9,"[0.7440069913864136, 1.1988604068756104, -0.9041150212287903, 0.9397222995758057]",0.0
6,10,"[1.2892929315567017, 1.3284862041473389, -0.9841455221176147, -0.2745702266693115]",0.0
6,11,"[-1.4273728132247925, -1.782321572303772, 2.3264846801757812, -0.57571941614151]",1.0
6,12,"[2.211435317993164, -0.08924072980880737, -0.2965521216392517, 1.4666489362716675]",0.0
6,13,"[2.081658124923706, -1.2362549304962158, 0.603420078754425, 0.5149369835853577]",0.0
6,14,"[-0.677803099155426, -1.4744222164154053, -0.3866480588912964, 1.6390104293823242]",1.0
6,15,"[1.9562816619873047, 1.3512507677078247, -2.9011497497558594, 0.9479657411575317]",0.0
6,16,"[1.4587510824203491, -2.0066959857940674, -1.5853209495544434, 1.4912683963775635]",0.0
6,17,"[0.6665313243865967, 0.7671530246734619, -0.8689013123512268, -0.3497154116630554]",0.0
6,18,"[0.31557226181030273, 0.14539313316345215, -0.4796016812324524, 1.9441006183624268]",0.0
6,19,"[-0.5067037343978882, -0.17700767517089844, -1.4193981885910034, -0.6640563607215881]",0.0
7,0,"[-2.8496899604797363, 2.876432180404663, 0.5080353617668152, -1.3016564846038818]",1.0
7,1,"[3.1958084106445312, 1.6684508323669434, 0.563965380191803, -3.2435359954833984]",0.0
7,2,"[0.07113945484161377, 0.4213709533214569, 0.45495307445526123, -0.5131155252456665]",1.0
7,3,"[-0.8111573457717896, -0.096501924097538, -1.390679121017456, 0.46326154470443726]",1.0
7,4,"[2.0838980674743652, -1.5772582292556763, 1.7089424133300781, 0.112877756357193]",1.0
7,5,"[-1.0165355205535889, 1.1819627285003662, 2.9652323722839355, 0.05490922927856445]",1.0
7,6,"[-2.211970329284668, 1.3820531368255615, 2.179553270339966, 0.1589924693107605]",1.0
7,7,"[0.19043967127799988, 0.006258919835090637, 0.12170290946960449, -0.11992540955543518]",0.0
7,8,"[-0.494766503572464, -1.5428240299224854, 0.3275756239891052, 1.7744699716567993]",1.0
7,9,"[2.8281843662261963, -1.3487175703048706, -1.5334913730621338, -0.7266639471054077]",0.0
7,10,"[-0.6145751476287842, -1.556812047958374, 0.7485851049423218, 1.6859147548675537]",1.0
7,11,"[0.6289910078048706, 0.7510876655578613, -0.13933026790618896, -1.021132469177246]",0.0
7,12,"[-1.370579719543457, -3.345773935317993, -2.0168089866638184, 3.451178550720215]",1.0
7,13,"[1.928966999053955, -1.3501040935516357, 0.4308096170425415, 0.3805736303329468]",0.0
7,14,"[-0.5456798076629639, -0.3464789390563965, -0.9401120543479919, 0.5051292777061462]",1.0
7,15,"[2.0880818367004395, -0.0015926584601402283, -0.5622305870056152, -1.2599283456802368]",0.0
7,16,"[2.159823417663574, -1.0918680429458618, 1.5843608379364014, -0.09832519292831421]",0.0
7,17,"[-2.887373924255371, 1.8386938571929932, -0.2976073920726776, -0.19984744489192963]",1.0
7,18,"[-1.4616812467575073, 1.058052897453308, -1.1064231395721436, -0.3916080594062805]",0.0
7,19,"[3.128013849258423, 2.2129945755004883, -1.6604199409484863, -4.149621963500977]",0.0
8,0,"[-1.1271162033081055, -0.5103919506072998, 1.7238779067993164, 2.613199472427368]",1.0
8,1,"[-0.7334487438201904, -1.9983583688735962, -0.06028208136558533, -0.8258187770843506]",0.0
8,2,"[-2.6806561946868896, -2.3220877647399902, 2.9745826721191406, 2.686002254486084]",1.0
8,3,"[0.79546719789505, 0.7846375107765198, -1.3235150575637817, 0.2639971971511841]",0.0
8,4,"[-0.22002029418945312, 0.8246127367019653, -0.7848787307739258, -0.06327666342258453]",1.0
8,5,"[-0.250771164894104, -0.14137732982635498, -0.9643847942352295, 1.4320225715637207]",0.0
8,6,"[0.6233094930648804, 0.9117437601089478, -2.0311529636383057, -0.08727526664733887]",0.0
8,7,"[-0.9658976793289185, -0.45131880044937134, 0.8541578054428101, 0.4712293744087219]",1.0
8,8,"[1.6502913236618042, 0.2736739218235016, -1.8105711936950684, -1.682691216468811]",0.0
8,9,"[1.2546848058700562, 1.9698591232299805, -0.6639776825904846, 0.13588017225265503]",0.0
8,10,"[0.28413933515548706, 1.6965749263763428, 0.7669365406036377, 0.6128507256507874]",1.0
8,11,"[-0.9375802278518677, -0.5852229595184326, 0.6874287724494934, 0.6128484010696411]",1.0
8,12,"[1.0942623615264893, 1.0891833305358887, -2.3674418926239014, 0.041153550148010254]",0.0
8,13,"[-0.263896644115448, -0.8687878251075745, -0.8903599977493286, 0.997744083404541]",0.0
8,14,"[1.463137149810791, -0.012973308563232422, -1.2380502223968506, -1.183474063873291]",0.0
8,15,"[-2.221588134765625, -0.9066135883331299, 0.7663798332214355, 0.5886027812957764]",1.0
8,16,"[0.4360787868499756, -0.9086623787879944, -1.0393922328948975, 0.05332234501838684]",0.0
8,17,"[-0.09885567426681519, 0.987795889377594, -1.4145772457122803, 1.8016332387924194]",0.0
8,18,"[0.4949621856212616, 0.9404079914093018, 2.1321029663085938, -2.089656114578247]",1.0
8,19,"[2.0408616065979004, 2.5826361179351807, -2.287374973297119, 2.1851859092712402]",0.0
9,0,"[-1.3420690298080444, 0.9155336022377014, 1.3808887004852295, 0.8203210830688477]",1.0
9,1,"[-0.36966854333877563, 0.7470346689224243, 0.7073854804039001, -1.1887415647506714]",1.0
9,2,"[1.7963279485702515, 0.06268826127052307, 0.9304831027984619, 2.7042431831359863]",0.0
9,3,"[1.1422966718673706, -1.3626972436904907, -0.7960978746414185, 0.4712967276573181]",0.0
9,4,"[2.879833221435547, -3.184206247329712, -3.098184823989868, -1.1592302322387695]",0.0
9,5,"[-2.140977382659912, 0.8124483823776245, 0.6933391094207764, 0.640455961227417]",1.0
9,6,"[1.0587794780731201, -1.7531169652938843, 3.5773653984069824, 0.6866769194602966]",0.0
9,7,"[1.1908729076385498, -1.5378402471542358, -1.2833940982818604, -0.22423768043518066]",0.0
9,8,"[0.45393216609954834, -0.6271332502365112, 0.2961457371711731, -0.07219421863555908]",0.0
9,9,"[-0.36435046792030334, -0.056348323822021484, 0.47333142161369324, 0.45904844999313354]",1.0
9,10,"[-0.04192456603050232, 0.2994014024734497, -1.0243570804595947, -0.7905150651931763]",1.0
9,11,"[0.8312774300575256, -0.6541216969490051, 2.3348467350006104, 1.4840736389160156]",0.0
9,12,"[2.383302688598633, -3.5866472721099854, -0.24733328819274902, 1.7027438879013062]",0.0
9,13,"[-0.25158706307411194, 0.014574676752090454, 0.1860225796699524, -0.7939062118530273]",1.0
9,14,"[-1.9650617837905884, 1.638945460319519, -1.2380770444869995, -1.1699488162994385]",1.0
9,15,"[-2.0546960830688477, 2.034454345703125, 1.9375693798065186, 0.25673139095306396]",1.0
9,16,"[-0.4329335391521454, 0.9313980937004089, 0.9515566825866699, 1.6700328588485718]",1.0
9,17,"[0.2737610340118408, 0.5320781469345093, -0.8177721500396729, -1.5171403884887695]",1.0
9,18,"[-1.5587029457092285, -0.6434863805770874, -2.3129634857177734, 2.5670840740203857]",1.0
9,19,"[-0.43600577116012573, 1.7619335651397705, 3.5828118324279785, 0.41963598132133484]",1.0
10,0,"[1.2380831241607666, -1.2139314413070679, -2.122159481048584, 1.7364561557769775]",0.0
10,1,"[-0.8868236541748047, -1.0028374195098877, 2.4553489685058594, -3.3009819984436035]",1.0
10,2,"[-2.2418599128723145, -0.5881564021110535, 0.3480737805366516, -0.3267584443092346]",1.0
10,3,"[-1.3197779655456543, -0.4870087504386902, -0.16390307247638702, -0.6020679473876953]",1.0
10,4,"[0.006395615637302399, 2.3052587509155273, -0.04186117649078369, 1.5058997869491577]",0.0
10,5,"[0.6837463974952698, 0.2547195851802826, -2.698173761367798, 2.637550115585327]",0.0
10,6,"[-1.3248400688171387, -1.1598182916641235, 0.3200579583644867, -1.2793707847595215]",1.0
10,7,"[-1.1187973022460938, 0.31625068187713623, 1.3500642776489258, -1.2418514490127563]",1.0
10,8,"[1.5695583820343018, 0.8164660930633545, 1.0725600719451904, -1.9924468994140625]",0.0
10,9,"[0.8877934217453003, 1.7849429845809937, 1.619520902633667, -1.82222318649292]",0.0
10,10,"[0.22962021827697754, 3.5266590118408203, 0.15822002291679382, -0.0297926664352417]",0.0
10,11,"[0.7463881969451904, -2.065551280975342, -2.1530191898345947, 1.8941771984100342]",0.0
10,12,"[0.6631591320037842, -0.27515819668769836, -1.3574206829071045, -0.20780551433563232]",0.0
10,13,"[0.48514795303344727, -1.8992161750793457, 0.21997296810150146, 0.2387465238571167]",1.0
10,14,"[1.3130675554275513, 0.1774468570947647, -1.3880093097686768, 1.9368031024932861]",0.0
10,15,"[-0.23303472995758057, 1.5589652061462402, 0.571255087852478, 0.9399764537811279]",0.0
10,16,"[1.0148425102233887, -1.5997684001922607, 0.02872985601425171, -0.4274735450744629]",1.0
10,17,"[1.622504711151123, 1.1931805610656738, -0.6768030524253845, -0.1825857162475586]",0.0
10,18,"[-0.13470137119293213, -1.041892170906067, 1.523390293121338, -1.7011890411376953]",1.0
10,19,"[-0.016737520694732666, -0.30264538526535034, 1.654554843902588, -1.270045280456543]",1.0
11,0,"[0.0036193132400512695, -0.43530863523483276, 0.6373094916343689, -0.555066704750061]",0.0
11,1,"[-3.1218314170837402, 3.299198627471924, -2.1941778659820557, -2.677006483078003]",0.0
11,2,"[-0.658750057220459, -0.8609395027160645, -0.5386320352554321, -1.433624505996704]",0.0
11,3,"[-4.068476676940918, 2.759671926498413, 1.237001657485962, 0.08569878339767456]",0.0
11,4,"[1.2306318283081055, -0.6331753730773926, 2.317383289337158, 1.6079096794128418]",1.0
11,5,"[-1.59603750705719, 0.6521116495132446, 1.3668423891067505, -0.039488404989242554]",0.0
11,6,"[-1.1654783487319946, 0.22436153888702393, 3.793980598449707, 1.4117343425750732]",0.0
11,7,"[1.766181230545044, -0.5077838897705078, -0.3580135107040405, 0.7585611939430237]",1.0
11,8,"[0.4403812885284424, 1.3811190128326416, -2.1051180362701416, -0.01767367124557495]",1.0
11,9,"[0.7284836769104004, 0.6094162464141846, -1.8516392707824707, -0.21993905305862427]",1.0
11,10,"[0.07123076915740967, -0.029424726963043213, -0.19311118125915527, -0.37253057956695557]",1.0
11,11,"[-0.4110950231552124, 0.733485758304596, -2.0042688846588135, -2.283430576324463]",1.0
11,12,"[1.6513752937316895, -0.04886707663536072, -1.5118143558502197, 0.8167068362236023]",1.0
11,13,"[-1.547025203704834, 2.115745782852173, -3.241915225982666, -1.6429221630096436]",1.0
11,14,"[0.47173988819122314, -1.1101443767547607, -0.28668874502182007, -0.6143630743026733]",0.0
11,15,"[0.14218959212303162, 0.5516217947006226, 0.5407655239105225, 1.3249685764312744]",1.0
11,16,"[-1.210244059562683, 1.8303112983703613, -1.4807140827178955, -0.7255541682243347]",1.0
11,17,"[0.05105012282729149, -0.42189455032348633, -0.35608673095703125, -1.1606265306472778]",0.0
11,18,"[1.9540252685546875, -0.04416513442993164, -2.6573610305786133, -0.019733667373657227]",1.0
11,19,"[2.4533677101135254, -0.7776627540588379, -0.3285941481590271, 1.6017862558364868]",1.0
12,0,"[-0.3297308683395386, -0.4487251937389374, -1.6476969718933105, -1.6366524696350098]",1.0
12,1,"[2.6026225090026855, -0.7780680656433105, 0.2512439489364624, -0.827761709690094]",0.0
12,2,"[1.4987573623657227, -0.25355958938598633, 0.2268199920654297, -0.7096839547157288]",0.0
12,3,"[0.46785157918930054, 0.12575280666351318, -0.8336492776870728, -1.1085591316223145]",0.0
12,4,"[-2.001843214035034, 1.5955289602279663, 1.9956942796707153, 2.585775375366211]",1.0
12,5,"[1.781591773033142, -1.1870362758636475, -0.12299385666847229, -0.8095452785491943]",0.0
12,6,"[-1.170194149017334, -0.18259048461914062, -0.7124220132827759, 0.22923249006271362]",1.0
12,7,"[-0.8487874865531921, 1.897475004196167, -0.9807624816894531, -1.3358304500579834]",0.0
12,8,"[0.6441452503204346, 0.10689947009086609, -0.10218709707260132, -0.2106054127216339]",0.0
12,9,"[-1.0736651420593262, 0.4872640371322632, -0.2162429690361023, 0.3516445755958557]",1.0
12,10,"[0.9759142398834229, -0.026068508625030518, -0.03369230031967163, -0.722502589225769]",0.0
12,11,"[-0.5486631989479065, 1.646243929862976, 1.274695634841919, 1.4974334239959717]",0.0
12,12,"[1.4160887002944946, -1.1068997383117676, -1.8367152214050293, -1.683802843093872]",0.0
12,13,"[-1.0271707773208618, 0.7164971828460693, -0.17977750301361084, -0.8243511915206909]",1.0
12,14,"[-0.8696470856666565, -0.5627095699310303, -1.8961783647537231, -1.8342070579528809]",1.0
12,15,"[-3.758178234100342, 1.868813157081604, -3.586848258972168, -2.0089235305786133]",1.0
12,16,"[-1.488924503326416, 0.7102852463722229, 2.4107394218444824, 2.8345911502838135]",1.0
12,17,"[0.686650276184082, 0.2199937105178833, 0.4944116175174713, 0.2484470158815384]",0.0
12,18,"[-4.437074661254883, 5.274629592895508, -2.2249622344970703, 1.1159605979919434]",1.0
12,19,"[2.1950771808624268, -1.1998674869537354, -0.2567892074584961, -1.9213199615478516]",0.0
13,0,"[-0.6868780851364136, -2.6449103355407715, 2.455444097518921, 2.0751333236694336]",1.0
13,1,"[0.759743332862854, 0.4282156527042389, -1.1140011548995972, -0.9432653188705444]",0.0
13,2,"[-0.0754927396774292, 0.7462108135223389, 1.0421608686447144, 1.0134049654006958]",1.0
13,3,"[1.2737772464752197, 0.6807042360305786, 0.2542334794998169, 1.0994634628295898]",0.0
13,4,"[-0.3637676537036896, -1.6510615348815918, 0.0707581639289856, 1.2810417413711548]",1.0
13,5,"[2.2490265369415283, 0.8373925685882568, 0.6088308095932007, 0.3818935751914978]",0.0
13,6,"[-0.5040098428726196, -2.378086566925049, 0.14277911186218262, 0.32129335403442383]",1.0
13,7,"[-0.3124714493751526, -2.510953664779663, 1.128097653388977, 0.7702541351318359]",1.0
13,8,"[-0.4627482295036316, -1.9734050035476685, 1.4901155233383179, 1.1612801551818848]",1.0
13,9,"[0.15402206778526306, 0.977740466594696, -2.0581860542297363, -0.6704434156417847]",0.0
13,10,"[-2.072704792022705, -3.255204439163208, 2.5543103218078613, 2.3535075187683105]",1.0
13,11,"[0.259585440158844, 0.7673777341842651, 0.7860658764839172, 1.8894951343536377]",0.0
13,12,"[-0.07791928946971893, -0.5285969972610474, 0.2316594421863556, -0.211728036403656]",1.0
13,13,"[-0.4634884297847748, 1.4496506452560425, -1.9598064422607422, -0.16915330290794373]",0.0
13,14,"[1.870286464691162, 0.8876533508300781, -1.4887104034423828, -1.2437758445739746]",0.0
13,15,"[-0.05569380521774292, -0.2627474069595337, -1.5101068019866943, -1.1986116170883179]",0.0
13,16,"[-1.3779115676879883, -1.6729941368103027, 0.5156961679458618, -0.3285486698150635]",1.0
13,17,"[-2.1800670623779297, -1.4880670309066772, 2.8291115760803223, 2.699122905731201]",1.0
13,18,"[-0.09914922714233398, -0.03132408857345581, -1.0246868133544922, -0.9334611892700195]",0.0
13,19,"[2.137320041656494, -0.5620630979537964, -0.618023693561554, -1.1668847799301147]",0.0
14,0,"[2.352067470550537, -1.524178147315979, -1.8854087591171265, 0.07709795236587524]",1.0
