model,slope,intercept,bic,task_id,a,b,c,d
quadratic,,,-204.71897155808583,847,2.0021912524635295,-0.0057138599472866414,-1.0104667492854715,
quadratic,,,-155.44189292020496,860,-0.05215189732875052,-1.0181377683930293,0.06845845394730452,
quadratic,,,-102.16058072580228,873,0.2213690160239874,0.9867845565759045,-0.16896557088888442,
linear,0.5522457310912486,-0.007062836598154654,-47.62585228817803,907,,,,
linear,-0.6489462513369204,0.03477700113548374,-45.30522121910076,911,,,,
linear,0.9374021774872364,-0.0606860351309213,-68.00966781537211,918,,,,
quadratic,,,-258.8982941366793,951,1.9899958738274237,0.0002914564126371699,-0.9960309719561307,
linear,0.9422724687122936,-0.1014151952524196,-80.6259695619053,970,,,,
quadratic,,,-149.05095361565492,984,-0.04841169661621521,-1.0119847866902647,0.0610416096960629,
linear,1.0024057899734875,-0.027500441112524365,-178.4896809581493,991,,,,
linear,-0.9945901941094278,0.000613648812665249,-173.8110767252269,996,,,,
linear,0.8223038336431698,0.023779870432046324,-65.17663741226158,1005,,,,
linear,0.22726357520572346,-0.014677597425259583,-28.361912997523998,1045,,,,
periodic,,,-120.2829954823227,1055,1.0703200022808486,1.2081294637087916,,-0.028714812348876018
linear,1.03364911730471,-0.015170559126315375,-140.62133032039026,1069,,,,
linear,1.0325845732341383,0.0138360423985745,-168.10924645318374,1073,,,,
linear,0.38582000445420694,0.051113643264648956,-33.68875450132032,1150,,,,
quadratic,,,-91.77789024529956,1170,0.1607039100697677,0.9659485691267014,-0.16312649968511383,
linear,1.028518281290868,-0.051427971832717745,-130.28710233343486,1191,,,,
linear,0.9555484629679164,0.04574348934033834,-95.16873206514946,1227,,,,
quadratic,,,-192.15153862960923,1264,1.9502604666987418,0.0028982533530610708,-0.9605093451298192,
linear,-1.0314838229417411,0.022977147180090612,-125.31562888517327,1283,,,,
linear,0.6443205567381727,0.06451713029478512,-50.03253261657511,1296,,,,
linear,1.0126448594611057,0.055461037467062546,-120.85150844669873,1320,,,,
quadratic,,,-212.89643033931696,1323,1.9994039641441892,-0.0012529144311526075,-1.0109958834534734,
quadratic,,,-70.16003708736721,1325,0.24219902991977593,0.9784668146161266,-0.2175357591670284,
quadratic,,,-208.48997153134277,1464,1.982310371234168,-0.0018086000739207203,-0.9842528601245307,
linear,-1.0206685514714913,0.034258660341344616,-86.11591204547999,1479,,,,
quadratic,,,-165.29899858328199,1484,0.05644010197176963,1.0157323142296175,-0.043713833923287204,
linear,1.0048903792055637,-0.015022618292413581,-155.6911463412008,1495,,,,
periodic,,,-195.67129301666833,1539,1.9604215863309307,0.5411847896659786,,-0.01787996655516163
quadratic,,,-112.81001430240643,1570,0.13089979937974283,1.0562857716010434,-0.11935414294395597,
linear,-1.0119847403765032,0.00656916566362131,-141.90001245313337,1580,,,,
quadratic,,,-255.15571160306445,1592,1.9911010890561944,-0.0020785907798754172,-0.989982967859757,
linear,1.0145362778786808,0.027800241138641196,-106.79297251270158,1629,,,,
linear,0.9550727349976883,0.015630509370465062,-151.01732792884448,1637,,,,
linear,0.9907909276704886,-0.0053553084002428974,-177.83575375423186,1673,,,,
linear,-1.0066466251826873,0.01845184004470679,-196.563181151664,1691,,,,
linear,0.9482186698244643,-0.030159308789251105,-86.78376419726818,1702,,,,
quadratic,,,-198.45495379835765,1708,0.018379882925388537,1.0065492812043877,-0.02476177017234278,
quadratic,,,-159.5438347115657,1770,1.9465906117568252,0.0012405373659840624,-0.9683315581924363,
quadratic,,,-204.89309039544736,1771,1.965353201435812,-0.0036367326061650393,-0.9738600975765489,
quadratic,,,-156.56734533857178,1792,1.927288211048488,0.009419164272596585,-0.9689045850182669,
linear,1.0109979434253114,-0.015091210875692016,-167.91452056795072,1805,,,,
quadratic,,,-196.94788091135848,1816,0.024229456052348275,1.0054301098876102,-0.01114409452243148,
quadratic,,,-219.44599201039048,1844,0.016090895822957495,1.0043608267821995,-0.023184199360124197,
linear,1.0152105929356035,0.024190120439093077,-176.54210092703272,1858,,,,
linear,1.0171159503833964,-0.025613334872187865,-133.56679205286792,1874,,,,
quadratic,,,-186.6326531405109,1943,0.024829537825863543,1.0237842995297002,-0.023908215011996584,
quadratic,,,-116.25978235411922,1979,0.09521601509654846,0.9875582463544086,-0.11268784358424659,
linear,0.9092097322114672,-0.08597750156996775,-102.38048445145002,2087,,,,
periodic,,,-176.21771586094528,2132,-1.9031992316423059,0.565702275737159,,-0.006158530177919271
periodic,,,-165.67464688416027,2184,1.645486844142594,0.6711485690625915,,-0.007548538695413288
quadratic,,,-178.4522430133525,2195,0.03170830551428641,1.0173862937432148,-0.05349026010341053,
periodic,,,-91.5864239366672,2254,0.9529100926834921,1.3001906058914519,,-0.0009762419292616661
linear,-0.9899417215372027,-0.04565690849570718,-110.49172361420912,2299,,,,
linear,1.0023846297674794,0.006814961506977446,-187.70030974324544,2313,,,,
quadratic,,,-202.1645808358423,2330,1.9757666683931017,0.004347998777444073,-0.9834923235056823,
linear,0.9709155700669859,-0.043917083550604356,-138.6120968903362,2336,,,,
quadratic,,,-163.49937702904845,2381,-0.04687069969400648,-1.005840869628492,0.02519173753184012,
linear,0.879080070945602,0.037184714272829544,-88.7897119968093,2540,,,,
linear,0.8562396044345986,0.08971639428262002,-66.2665630020033,2554,,,,
quadratic,,,-150.55980465284654,2555,0.04905314712323489,1.0440773755153407,-0.06616876544785401,
linear,-0.17944948774150005,0.32468070518762404,-29.90187680614864,2562,,,,
quadratic,,,-212.17285526917073,2565,1.9674977713258182,0.0022030202626749373,-0.995651226809757,
linear,0.9275819539160384,-0.038852912743226886,-94.27138442470282,2661,,,,
linear,0.20204828481682546,-0.06034430026619875,-27.579994999187047,2676,,,,
quadratic,,,-105.00824707514836,2681,0.147333898074731,1.0161743171659237,-0.09807747587721093,
periodic,,,-169.07647325378863,2704,1.5472702508576464,0.6885933841256116,,-0.015535705862610072
linear,1.0056265474424666,-0.08263790576030483,-105.5512928353723,2773,,,,
linear,0.8890561029636599,-0.006488169191552373,-82.15886142119376,2789,,,,
linear,-0.9956243542578219,-0.008804523943789711,-193.18598926403044,2809,,,,
quadratic,,,-174.72076682834918,2830,1.9585682300278122,0.004879796695581609,-0.9836381476556234,
quadratic,,,-203.97123493864416,2840,0.019127270266976026,1.0035365171818058,-0.020155040244209443,
linear,1.000922971653384,-0.003443110824947526,-115.4405426621138,2842,,,,
quadratic,,,-203.5982300121968,2843,1.9812554955960775,-0.005735375823535449,-0.9946320677747895,
linear,1.0005603841859776,-0.025696325322025038,-169.1124156318684,2879,,,,
quadratic,,,-186.67943111320756,2882,0.027179099889387742,0.9864590932973979,-0.020532717883196286,
quadratic,,,-185.86227707104248,2903,1.9701136945072362,-0.006465077175202475,-0.9840695634682264,
linear,0.907932819967498,-0.04041703586731349,-88.37878740099356,2914,,,,
quadratic,,,-220.11115238489774,2924,0.01629247029130603,0.9979630402692636,-0.018024828348024165,
quadratic,,,-179.5819810628069,2941,-0.02759081064756014,-1.0214437707895105,0.04382322876130155,
linear,1.011609387322601,-0.022564486949554707,-149.39021768359282,2943,,,,
quadratic,,,-172.9031695658096,2956,0.045472907521873385,1.0129190509657724,-0.05077939347757354,
linear,0.9606822974517065,0.053702496244294795,-95.48346590444318,3014,,,,
linear,0.9807659810858557,-0.029344750817688725,-129.93534378854739,3035,,,,
quadratic,,,-189.89869531862365,3038,0.02611784633704924,1.0118323411229062,-0.015082741521197906,
linear,0.995497358953926,4.145890019047194e-05,-184.2285535991378,3039,,,,
quadratic,,,-131.3957045835323,3046,1.886202929265263,0.014823295711753781,-0.9072915173302376,
linear,1.0017403311447846,-0.005104531097282816,-173.93535566779966,3048,,,,
linear,-1.034366294026927,0.014670684427162364,-171.88222178374735,3050,,,,
linear,0.984120233520789,-0.004492728056129547,-142.27210181509454,3053,,,,
quadratic,,,-122.07484282029974,3054,0.15126655643923537,1.0707309612223703,-0.14817413071034413,
quadratic,,,-186.41026151597276,3055,0.02496645184419088,1.0057482235601496,-0.024208724493630412,
linear,-0.6908005479340354,0.1158789527377086,-67.8548544448726,3077,,,,
linear,-1.0412677457936572,0.015904542571400913,-153.96348745686709,3120,,,,
quadratic,,,-220.58989096705213,3140,1.9971125682416369,-0.005769101744828383,-0.9995252025373965,
linear,0.9832975964877786,0.008577112285780175,-155.13953400920167,3150,,,,
quadratic,,,-179.74019163183937,3173,1.970388657078464,0.009010716730071252,-0.9878437049746396,
quadratic,,,-149.988448362749,3222,1.8791099472113388,-0.01187042634654543,-0.9020381026802363,
linear,1.0161380737781067,-0.060253445239829784,-120.33659982874286,3228,,,,
linear,0.7959002059435506,0.005235200606077628,-51.9061947372824,3247,,,,
quadratic,,,-267.0477894217591,3261,2.0060952755956127,0.0004829966094599031,-1.0047379010656847,
linear,0.8554607381421204,-0.19578992817188423,-72.12809100158256,3269,,,,
linear,0.8426825713529058,0.08877357904374816,-76.62540648389972,3316,,,,
linear,1.026889554756267,0.0016320386310610946,-144.73950661197546,3332,,,,
quadratic,,,-188.9545119664684,3346,1.9762083595806306,-0.007305057695629724,-0.969025757655267,
linear,0.9623240917749014,-0.08046946728913462,-105.30191144794075,3357,,,,
linear,-1.014779086061638,-0.004083869631654266,-180.486912443516,3462,,,,
linear,0.6099579824372849,-0.061269385085762185,-45.97754242725757,3467,,,,
linear,1.0140152564011014,-0.0006226005012812674,-111.95244067139963,3501,,,,
quadratic,,,-84.65729742078598,3504,0.27612540072202435,0.8666325291845933,-0.14035392040434455,
quadratic,,,-159.00055824391544,3511,1.9582787385204026,0.0038643331402256477,-0.9732153170658346,
linear,0.635028632936707,-0.17642032981603428,-59.42920570373684,3552,,,,
quadratic,,,-119.5780864794322,3577,1.9561477396522529,-0.060440207165320885,-0.9135454948756497,
linear,1.0309979584758282,-0.011153951034811094,-143.04797621554033,3602,,,,
linear,0.32780455375390316,-0.17596328976919007,-36.20272141519341,3634,,,,
linear,0.9530107959818758,-0.07096025703473585,-90.02624771685328,3636,,,,
linear,1.035334790377823,-0.05037924766825652,-142.32748143250387,3652,,,,
linear,0.9617701453571323,0.05879657725017573,-81.22018984948595,3659,,,,
quadratic,,,-211.00105726932566,3695,2.001221081286271,0.008551632392835639,-0.9980949751091536,
quadratic,,,-99.3058316082163,3734,1.8484821166370393,-0.014799793172879161,-0.8469049170925036,
quadratic,,,-205.07543849650133,3735,1.9947484950679497,-0.004244240845197478,-0.9960066147373978,
quadratic,,,-47.46823356580143,3739,-0.5152882801655307,-0.4996584960346424,0.3475595785528649,
quadratic,,,-180.8093894366504,3744,1.9607625522638088,-0.012549314929190234,-0.998474241239721,
linear,0.8052311904555147,-0.012857347551891534,-66.25265653855767,3797,,,,
linear,1.0321800587522814,-0.0035245003510195883,-116.35250008303801,3837,,,,
linear,1.023005421292765,0.0023657970794414007,-115.69159619351475,3839,,,,
linear,1.055276704944667,0.005408816644678072,-114.72201396933545,3844,,,,
linear,1.0316939875304,-0.036380040026142035,-131.62507568602055,3853,,,,
linear,0.9933257406584813,0.017297121896422962,-135.82091950185816,3878,,,,
linear,1.0211912468828412,-0.0770062552202082,-106.41924111979527,3899,,,,
quadratic,,,-160.6870779910099,3913,2.006371180793958,-0.017937423312009825,-1.00900819527051,
periodic,,,-136.17163129214882,3926,1.4129834042750742,0.8098524703066642,,0.006837605890968336
linear,0.9904723603687764,-0.07031710695916593,-126.69669274264506,3932,,,,
linear,1.0345523046654053,-0.010037108005734478,-161.03893691860702,3994,,,,
linear,1.0190994007595524,-0.00453705875297751,-183.1038375517638,3996,,,,
quadratic,,,-166.96118286975738,3997,1.932470335230682,0.01387924321087099,-0.9655855958646052,
linear,1.060572076805649,-0.01317311402919974,-155.5535984150532,4026,,,,
linear,1.0075145050816516,-0.04070271598561158,-139.278298167418,4034,,,,
linear,-0.9986276837890247,-0.002229000157988225,-141.00552601676202,4065,,,,
linear,0.6430206234318792,-0.019407150692432484,-48.21678583261694,4135,,,,
linear,0.9730694230315013,0.01654443265030255,-117.2609507537361,4138,,,,
linear,-1.0272423618527755,0.01309966551068853,-127.27618793520914,4201,,,,
quadratic,,,-242.948808802497,4209,2.0001071107329818,0.002226314344926881,-1.003641971992242,
linear,0.7410257117036398,-0.0016941756870072489,-54.63470411128318,4210,,,,
linear,0.8864790510982398,-0.06854627966908122,-73.88542822887885,4211,,,,
linear,-1.0001073535192557,-0.006155750356753778,-187.8832113950776,4226,,,,
quadratic,,,-190.2812003928299,4270,1.9615583992169938,0.006059485757004657,-0.9783411610126567,
quadratic,,,-150.2929001393588,4291,1.9838633662381127,0.013818818484729989,-0.9774916957581847,
linear,-0.9701832792072925,0.052359301183327905,-116.70527635230043,4339,,,,
linear,0.9989204279661965,-0.014782098735739838,-127.06919597120772,4350,,,,
linear,-1.0124481344613419,0.021608555844104933,-169.28753845018974,4374,,,,
quadratic,,,-190.53487168327254,4380,0.02645718712406649,1.0048954942896278,-0.030227166644872495,
linear,-0.9116672617424606,0.10166911257893954,-93.62035903350996,4387,,,,
quadratic,,,-188.22221843242684,4406,1.9879814444620558,0.009276199618593212,-1.0110284129218767,
linear,1.013372098594836,-0.047711743330449696,-115.94753598167483,4407,,,,
quadratic,,,-117.43879639873896,4430,0.10133160320195408,0.9907819300663483,-0.1321208810109846,
linear,0.8716021815711584,-0.08742252844734545,-94.07888834266082,4444,,,,
linear,1.0069215257779671,-0.07691744225957087,-113.48288855083605,4453,,,,
quadratic,,,-280.00598666903835,4457,2.0027983024763603,7.031046056005241e-05,-1.0033410571033397,
quadratic,,,-100.0297844424507,4475,1.8277589851504192,-0.029042699092647783,-0.8545044406928219,
linear,0.5867087560182446,0.07482940160935381,-47.13478279288302,4486,,,,
linear,0.9853862716708437,-0.02041194362059562,-115.4902449865239,4489,,,,
periodic,,,-199.884752955739,4497,2.208431473598645,0.46395383825608844,,-0.02054816300657932
quadratic,,,-143.0530060125601,4500,0.07977786499112545,1.051289695847698,-0.07680149759663571,
linear,0.43945491088392197,-0.10956795399832586,-37.70630183081233,4595,,,,
quadratic,,,-173.64872324746028,4603,1.949590044947342,-0.0006444013808968307,-0.9659072280289729,
quadratic,,,-201.50467870093894,4619,1.9924794681724238,-0.002546277746311887,-1.0005071488348731,
linear,1.0041172204864477,-0.020424019084946097,-187.38048056225335,4623,,,,
linear,0.4592335705206686,-0.2225660619139449,-32.03026026819949,4635,,,,
quadratic,,,-107.08360404535237,4678,1.7135588342409331,-0.03754109739231826,-0.7703953563926742,
linear,1.001306276784639,-0.014054741617239852,-168.3982661606941,4720,,,,
quadratic,,,-146.95162525771073,4724,1.955383065893104,-0.00948519919203128,-0.9714720785732744,
linear,0.7648141280686478,-0.05405682505253506,-53.934515104899795,4737,,,,
linear,0.9851464981496848,0.09641847593429574,-112.59271713572448,4866,,,,
linear,1.0601951220133086,0.004861478671479125,-143.17773449789524,4870,,,,
linear,0.900082187990636,-0.13326574790960222,-72.35309983468562,4879,,,,
linear,1.0367725010780906,-0.075298515998653,-93.86467859649598,4977,,,,
linear,1.0500093167081952,-0.025690741370859804,-100.70323839980034,4987,,,,
