,input,target,trial_id,task_id
51,[-0.5000000113175475],[-0.19347355],25,1
52,[0.16666666289415089],[-0.88531468],0,2
53,[-0.33333333710584917],[-0.90209791],1,2
54,[0.33333334842339657],[-0.72531468],2,2
55,[-1.0],[-0.37062937],3,2
56,[-0.7499999943412263],[-0.51324727],4,2
57,[0.16666666289415089],[-0.23076921],5,2
58,[-0.6666666742116983],[-0.51324727],6,2
59,[-0.5000000113175475],[-0.73426572],7,2
60,[-0.5833333314470754],[-0.23076921],8,2
61,[0.0833333427646229],[-0.74545454],9,2
62,[0.41666666855292456],[0.60839165],10,2
63,[-0.5833333314470754],[0.04895104],11,2
64,[0.0],[-0.59999999],12,2
65,[-0.5833333314470754],[-0.61678321],13,2
66,[0.0],[-0.56643356],14,2
67,[-0.2500000014146934],[-0.51324727],15,2
68,[0.2500000282938687],[-0.06293707],16,2
69,[-0.2500000014146934],[-0.94965036],17,2
70,[-0.16666666289415086],[-0.37622377],18,2
71,[-0.16666666289415086],[-0.47132867],19,2
72,[-0.41666666855292456],[-0.62237762],20,2
73,[-0.2500000014146934],[-0.74433566],21,2
74,[-0.33333333710584917],[0.11608394],22,2
75,[0.16666666289415089],[-0.17482516],23,2
76,[-0.5000000113175475],[-0.51324727],24,2
77,[0.6666667194818882],[-0.73426572],25,2
78,[-0.08333333144707541],[-0.16923076],0,3
79,[-0.6666666742116983],[-0.6111888],1,3
80,[0.41666666855292456],[-0.28671327],2,3
81,[-0.7499999943412263],[-0.96363634],3,3
82,[-0.5000000113175475],[-0.87972028],4,3
83,[-0.33333333710584917],[-0.51324727],5,3
84,[-0.41666666855292456],[-0.72867132],6,3
85,[-0.7499999943412263],[-0.93006992],7,3
86,[0.0833333427646229],[-0.28671327],8,3
87,[-0.08333333144707541],[-0.81818181],9,3
88,[-0.5833333314470754],[-0.54405594],10,3
89,[0.0833333427646229],[-0.91888113],11,3
90,[-0.7499999943412263],[-0.98601397],12,3
91,[-0.08333333144707541],[-0.94681178],13,3
92,[0.16666666289415089],[-0.09090907],14,3
93,[-0.08333333144707541],[-0.9804196],15,3
94,[-0.5000000113175475],[-0.96923076],16,3
95,[0.41666666855292456],[0.04895104],17,3
96,[0.6666667194818882],[-0.37846154],18,3
97,[-0.16666666289415086],[-0.73426572],19,3
98,[-0.33333333710584917],[-0.51324727],20,3
99,[-0.8333333597409441],[-0.51324727],21,3
100,[-0.9166666798704721],[-0.51324727],22,3
101,[0.0],[-0.65594406],23,3
102,[0.0],[-0.87972028],24,3
103,[-0.2500000014146934],[-0.51048951],25,3
104,[0.16666666289415089],[-0.11888113],0,4
105,[-0.33333333710584917],[-0.51324727],1,4
106,[-0.7499999943412263],[-0.73426572],2,4
107,[-0.41666666855292456],[-0.45454545],3,4
108,[-0.7499999943412263],[-0.51324727],4,4
109,[0.16666666289415089],[-0.32867132],5,4
110,[-0.41666666855292456],[-0.75664335],6,4
111,[-0.08333333144707541],[-0.95804197],7,4
112,[0.41666666855292456],[-0.81034964],8,4
113,[-0.6666666742116983],[-0.45454545],9,4
114,[-0.16666666289415086],[-0.93006992],10,4
115,[0.16666666289415089],[-0.51324727],11,4
116,[-0.16666666289415086],[-0.74265735],12,4
117,[-0.08333333144707541],[-0.00699301],13,4
118,[-0.7499999943412263],[-0.51324727],14,4
119,[-0.6666666742116983],[-0.23076921],15,4
120,[-0.8333333597409441],[-0.96643358],16,4
121,[-0.6666666742116983],[-0.51324727],17,4
122,[-0.6666666742116983],[0.04895104],18,4
123,[-0.08333333144707541],[-0.51048951],19,4
124,[-0.08333333144707541],[-0.87972028],20,4
125,[0.7499999943412263],[1.],21,4
126,[-0.41666666855292456],[-0.99160839],22,4
127,[-0.5000000113175475],[-0.67832168],23,4
128,[-0.5000000113175475],[-0.25874124],24,4
129,[-0.2500000014146934],[-0.20279719],25,4
130,[-0.08333333144707541],[-0.51048951],0,5
131,[-0.08333333144707541],[-0.94125876],1,5
132,[-0.16666666289415086],[-0.70629369],2,5
133,[0.49999998868245255],[-0.37062937],3,5
134,[-0.7499999943412263],[-0.95804197],4,5
135,[-0.8333333597409441],[-0.51324727],5,5
136,[-0.33333333710584917],[-0.03496502],6,5
137,[-0.08333333144707541],[-0.25874124],7,5
138,[-0.5833333314470754],[0.02097904],8,5
139,[-0.16666666289415086],[-0.91328671],9,5
140,[-0.6666666742116983],[-0.98601397],10,5
141,[-0.5000000113175475],[-0.97482518],11,5
142,[-0.16666666289415086],[-0.51048951],12,5
143,[-0.7499999943412263],[-0.09090907],13,5
144,[0.49999998868245255],[-0.87412586],14,5
145,[-0.08333333144707541],[-0.17482516],15,5
146,[-0.41666666855292456],[-0.14685313],16,5
147,[-0.2500000014146934],[-0.23076921],17,5
148,[0.2500000282938687],[-0.42657342],18,5
149,[-0.33333333710584917],[-0.17482516],19,5
150,[-0.2500000014146934],[-0.94685313],20,5
151,[-0.7499999943412263],[-0.37622377],21,5
152,[-0.5000000113175475],[-0.85734265],22,5
153,[-0.5833333314470754],[-0.51324727],23,5
154,[-0.2500000014146934],[-0.95804197],24,5
155,[0.0],[0.04895104],25,5
156,[-0.41666666855292456],[-0.24195803],0,6
157,[-0.8333333597409441],[-0.66713286],1,6
158,[-0.2500000014146934],[-0.10023271],2,6
159,[-0.6666666742116983],[-0.90209791],3,6
160,[-0.7499999943412263],[-0.65034965],4,6
161,[0.16666666289415089],[-0.59440559],5,6
162,[0.49999998868245255],[-0.32400896],6,6
163,[-0.41666666855292456],[-0.51324727],7,6
164,[-0.5833333314470754],[-0.99160839],8,6
165,[-0.7499999943412263],[-0.98321679],9,6
166,[-1.0],[-0.51048951],10,6
167,[-0.2500000014146934],[-0.18881118],11,6
168,[-0.6666666742116983],[-0.62237762],12,6
169,[-0.16666666289415086],[-0.51324727],13,6
170,[-0.6666666742116983],[-0.34265734],14,6
171,[-0.2500000014146934],[-0.15244755],15,6
172,[-0.33333333710584917],[-0.90209791],16,6
173,[0.0833333427646229],[-0.46573426],17,6
174,[-0.5833333314470754],[0.27272731],18,6
175,[-0.5000000113175475],[0.13286715],19,6
176,[-0.2500000014146934],[-0.51048951],20,6
177,[-0.41666666855292456],[-0.11888113],21,6
178,[-0.5833333314470754],[0.94405599],22,6
179,[0.2500000282938687],[-0.45454545],23,6
180,[-0.8333333597409441],[-0.51324727],24,6
181,[0.0],[-0.32867132],0,7
182,[-0.08333333144707541],[-0.17482516],1,7
183,[0.2500000282938687],[-0.3986014],2,7
184,[-0.2500000014146934],[-0.97482518],3,7
185,[-0.41666666855292456],[-0.65594406],4,7
186,[-0.41666666855292456],[-0.8909091],5,7
187,[-0.5833333314470754],[-0.07412586],6,7
188,[0.0833333427646229],[0.1048951],7,7
189,[0.33333334842339657],[-0.14125873],8,7
190,[-0.41666666855292456],[-0.75104896],9,7
191,[-0.5833333314470754],[-0.9804196],10,7
192,[-0.5000000113175475],[-0.51324727],11,7
193,[-0.33333333710584917],[-0.93566434],12,7
194,[-0.6666666742116983],[-0.51324727],13,7
195,[-0.7499999943412263],[-0.91328671],14,7
196,[-0.08333333144707541],[-0.96643358],15,7
197,[-0.2500000014146934],[-0.90209791],16,7
198,[0.0833333427646229],[-0.90769229],17,7
199,[0.0833333427646229],[-0.90209791],18,7
200,[-0.33333333710584917],[-0.67832168],19,7
201,[-0.16666666289415086],[-0.86293707],20,7
202,[0.7499999943412263],[1.],21,7
203,[-0.41666666855292456],[-0.13286713],22,7
204,[-0.2500000014146934],[-0.86853147],23,7
205,[-0.5833333314470754],[-0.73986014],24,7
206,[0.06249995441426445],[-0.47031395],0,8
207,[1.0],[0.77728387],1,8
208,[-0.3437500264397266],[-0.86116454],2,8
209,[0.9062498787419434],[0.90284829],3,8
210,[0.18749983406792256],[-0.26996793],4,8
211,[0.9374998413616402],[0.96272635],5,8
212,[0.06249995441426445],[-0.59429037],6,8
213,[0.49999989788795235],[-0.13235305],7,8
214,[0.3749998431850697],[-0.67201117],8,8
215,[0.4687499352682555],[-0.89325361],9,8
216,[-0.7500001239932007],[-0.91670363],10,8
217,[-0.9062500537911679],[-1.],11,8
218,[0.6562499443854026],[-0.14909599],12,8
219,[-0.43750003099830015],[-0.91425876],13,8
220,[0.7187498696247963],[-0.59285897],14,8
221,[0.3437498805653728],[-0.72765616],15,8
222,[0.5937500191460089],[-0.49599908],16,8
223,[0.18749983406792256],[0.01778509],17,8
224,[0.18749983406792256],[-0.23512429],18,8
225,[0.4687499352682555],[-0.25206047],19,8
226,[-0.0625001148760536],[-0.41750414],20,8
227,[0.03124989105009202],[-0.83101988],21,8
228,[-0.687500082054324],[-0.86292106],22,8
229,[-0.2812501012003329],[-0.17736924],23,8
230,[0.3437498805653728],[-0.41661928],24,8
231,[-0.31250006382002976],[-0.45204271],25,8
232,[-1.0],[-0.86364405],26,8
233,[0.09374992432767898],[-0.76149693],27,8
234,[-0.3437500264397266],[-0.53149838],28,8
235,[-0.37500010575890647],[-0.4114152],29,8
236,[-0.18750008205432397],[-0.43253602],30,8
237,[0.21874998632427933],[-0.1106942],0,9
238,[-0.7500001239932007],[-0.89244853],1,9
239,[0.6562499443854026],[-0.42314014],2,9
240,[0.3437498805653728],[-0.79870519],3,9
241,[-0.2187500592614562],[-0.86731059],4,9
242,[0.03124989105009202],[-0.31273121],5,9
243,[-0.18750008205432397],[-0.72134856],6,9
244,[-0.4062500683786033],[-0.82311935],7,9
245,[0.21874998632427933],[-0.22560702],8,9
246,[-0.43750003099830015],[-0.53611437],9,9
247,[0.24999996353141155],[-0.72835369],10,9
248,[-0.0625001148760536],[-0.68550667],11,9
249,[-0.09375007749575043],[-0.586748],12,9
250,[-0.6250000401154472],[-0.74957414],13,9
251,[0.15624986415450803],[0.13740077],14,9
252,[-0.6562501194346271],[-0.85883136],15,9
253,[-0.4062500683786033],[0.15047838],16,9
254,[-0.5625001148760536],[-0.65932147],17,9
255,[-0.18750008205432397],[-0.88048619],18,9
256,[0.7187498696247963],[0.55319483],19,9
257,[-0.09375007749575043],[-0.61365584],20,9
258,[-0.5312500355568737],[-0.94613072],21,9
259,[0.3437498805653728],[-0.32167011],22,9
260,[-0.3437500264397266],[-0.61801637],23,9
261,[-0.15625011943462716],[-0.5088387],24,9
262,[0.6249999817657058],[-0.31591935],25,9
263,[0.7187498696247963],[0.66980026],26,9
264,[0.4687499352682555],[-0.86321923],27,9
265,[0.18749983406792256],[-0.36134866],28,9
266,[0.7499998322444931],[1.],29,9
267,[-8.023089457381838e-08],[-0.85206629],30,9
268,[-0.7419354044903437],[8.79798945e-09],0,10
269,[-0.5161290253885875],[8.79798945e-09],1,10
270,[-0.32258049594098254],[8.79798945e-09],2,10
271,[-0.38709688143371856],[8.79798945e-09],3,10
272,[-0.38709688143371856],[8.79798945e-09],4,10
273,[-0.32258049594098254],[8.79798945e-09],5,10
274,[-0.4838708326422195],[8.79798945e-09],6,10
275,[-0.7419354044903437],[8.79798945e-09],7,10
276,[-0.5161290253885875],[8.79798945e-09],8,10
277,[-0.03225803894640886],[8.79798945e-09],9,10
278,[0.2903225989637667],[-0.33333333],10,10
279,[-0.45161294749576997],[-0.33333333],11,10
280,[-0.09677410500846027],[-0.33333333],12,10
281,[0.41935475474940176],[0.33333333],13,10
282,[-0.45161294749576997],[-0.33333333],14,10
283,[0.09677410500846007],[0.33333333],15,10
284,[-0.4838708326422195],[8.79798945e-09],16,10
285,[0.5483871944734231],[0.6666667],17,10
286,[0.06451621986201056],[8.79798945e-09],18,10
287,[-0.5161290253885875],[-0.33333333],19,10
288,[0.5483871944734231],[0.6666667],20,10
289,[-0.03225803894640886],[0.33333333],21,10
290,[-0.19354836085918817],[0.6666667],22,10
291,[-0.5806450796198728],[-0.33333333],23,10
292,[-0.3548386886873506],[8.79798945e-09],24,10
293,[-0.22580655064786465],[8.79798945e-09],25,10
294,[-0.3548386886873506],[8.79798945e-09],0,11
295,[-0.19354836085918817],[8.79798945e-09],1,11
296,[0.1612904905011961],[8.79798945e-09],2,11
297,[0.3870968932644845],[0.33333333],3,11
298,[-0.3548386886873506],[8.79798945e-09],4,11
299,[-0.2903226226252991],[8.79798945e-09],5,11
300,[-0.09677410500846027],[8.79798945e-09],6,11
301,[-0.6774193502590583],[8.79798945e-09],7,11
302,[-0.2903226226252991],[-0.33333333],8,11
303,[0.5483871944734231],[-0.33333333],9,11
304,[-0.3548386886873506],[-0.33333333],10,11
305,[0.032258027115642574],[8.79798945e-09],11,11
306,[-0.8064514587216289],[-0.33333333],12,11
307,[-0.8064514587216289],[-0.33333333],13,11
308,[-0.5483871944734233],[8.79798945e-09],14,11
309,[-0.5483871944734233],[8.79798945e-09],15,11
310,[-0.419354754749402],[8.79798945e-09],16,11
311,[-0.5161290253885875],[8.79798945e-09],17,11
312,[-0.5161290253885875],[8.79798945e-09],18,11
313,[-0.3548386886873506],[0.33333333],19,11
314,[-0.419354754749402],[-0.6666667],20,11
315,[-0.419354754749402],[-0.33333333],21,11
316,[-0.419354754749402],[8.79798945e-09],22,11
317,[-0.419354754749402],[-0.33333333],23,11
318,[0.19354835198611342],[8.79798945e-09],24,11
319,[-0.03225803894640886],[0.33333333],25,11
320,[-0.06451621986201077],[0.33333333],0,12
321,[-0.06451621986201077],[8.79798945e-09],1,12
322,[-0.6451611575126903],[8.79798945e-09],2,12
323,[-0.03225803894640886],[8.79798945e-09],3,12
324,[-0.4838708326422195],[8.79798945e-09],4,12
325,[-0.7096775430054263],[8.79798945e-09],5,12
326,[-0.2903226226252991],[8.79798945e-09],6,12
327,[-0.38709688143371856],[8.79798945e-09],7,12
328,[-0.8064514587216289],[8.79798945e-09],8,12
329,[-0.7096775430054263],[8.79798945e-09],9,12
330,[-0.19354836085918817],[-0.33333333],10,12
331,[-0.2903226226252991],[8.79798945e-09],11,12
332,[-0.25806442987893113],[8.79798945e-09],12,12
333,[-0.6451611575126903],[-0.33333333],13,12
334,[0.48387114024213784],[0.33333333],14,12
335,[-0.419354754749402],[-0.33333333],15,12
336,[-0.12903229183944523],[0.6666667],16,12
337,[-0.5161290253885875],[-0.33333333],17,12
338,[-0.6774193502590583],[8.79798945e-09],18,12
339,[-0.5161290253885875],[-0.33333333],19,12
340,[-0.3548386886873506],[-0.33333333],20,12
341,[-0.6451611575126903],[8.79798945e-09],21,12
342,[-0.12903229183944523],[0.6666667],22,12
343,[-0.5161290253885875],[-0.33333333],23,12
344,[0.5161290017270551],[0.33333333],24,12
345,[0.2903225989637667],[0.33333333],25,12
346,[-0.5806450796198728],[-0.33333333],0,13
347,[-0.6774193502590583],[-0.33333333],1,13
348,[-0.1612901710705117],[8.79798945e-09],2,13
349,[-0.6129032960277729],[8.79798945e-09],3,13
350,[-0.3548386886873506],[-0.33333333],4,13
351,[-0.5161290253885875],[8.79798945e-09],5,13
352,[-0.7741935972367117],[-0.33333333],6,13
353,[-0.7741935972367117],[8.79798945e-09],7,13
354,[-0.7741935972367117],[8.79798945e-09],8,13
355,[-0.45161294749576997],[8.79798945e-09],9,13
356,[-0.7741935972367117],[-0.33333333],10,13
357,[-0.7741935972367117],[8.79798945e-09],11,13
358,[-0.7741935972367117],[8.79798945e-09],12,13
359,[-0.6774193502590583],[-0.33333333],13,13
360,[0.48387114024213784],[0.33333333],14,13
361,[0.48387114024213784],[0.33333333],15,13
362,[0.1290322977548281],[0.33333333],16,13
363,[-0.6129032960277729],[8.79798945e-09],17,13
364,[-0.7419354044903437],[8.79798945e-09],18,13
365,[0.09677410500846007],[0.33333333],19,13
366,[-0.32258049594098254],[-0.6666667],20,13
367,[-0.7419354044903437],[8.79798945e-09],21,13
368,[-0.6451611575126903],[-0.33333333],22,13
369,[-0.5483871944734233],[-0.33333333],23,13
370,[-0.5483871944734233],[-0.33333333],24,13
371,[-0.6774193502590583],[-0.33333333],25,13
372,[-0.6451611575126903],[-0.33333333],0,14
373,[-0.6129032960277729],[8.79798945e-09],1,14
374,[-0.5483871944734233],[-0.33333333],2,14
375,[-0.6451611575126903],[8.79798945e-09],3,14
376,[-0.6451611575126903],[8.79798945e-09],4,14
377,[-0.25806442987893113],[-0.33333333],5,14
378,[-0.7419354044903437],[8.79798945e-09],6,14
379,[-0.7096775430054263],[-0.33333333],7,14
380,[-0.6129032960277729],[-0.33333333],8,14
381,[-0.6451611575126903],[-0.33333333],9,14
382,[-0.6451611575126903],[-0.33333333],10,14
383,[-0.45161294749576997],[-0.6666667],11,14
384,[0.06451621986201056],[8.79798945e-09],12,14
385,[0.2258065447324814],[8.79798945e-09],13,14
386,[-0.6129032960277729],[-0.33333333],14,14
387,[-0.6129032960277729],[-0.33333333],15,14
388,[-0.2903226226252991],[-0.33333333],16,14
389,[-0.7419354044903437],[-0.33333333],17,14
390,[-0.45161294749576997],[-0.33333333],18,14
391,[-0.6451611575126903],[8.79798945e-09],19,14
392,[-0.419354754749402],[8.79798945e-09],20,14
393,[-0.03225803894640886],[8.79798945e-09],21,14
394,[-0.19354836085918817],[-0.33333333],22,14
395,[-0.45161294749576997],[0.33333333],23,14
396,[-0.06451621986201077],[0.33333333],24,14
397,[-0.06451621986201077],[8.79798945e-09],25,14
398,[-0.1612901710705117],[-0.33333333],0,15
399,[-0.45161294749576997],[0.33333333],1,15
400,[-0.6774193502590583],[-0.33333333],2,15
401,[-0.6129032960277729],[-0.33333333],3,15
402,[-0.7096775430054263],[-0.33333333],4,15
403,[-0.4838708326422195],[-0.33333333],5,15
404,[-0.12903229183944523],[8.79798945e-09],6,15
405,[-0.7741935972367117],[-0.33333333],7,15
406,[-0.09677410500846027],[0.33333333],8,15
407,[0.2258065447324814],[8.79798945e-09],9,15
408,[-0.2903226226252991],[-0.33333333],10,15
409,[-0.7741935972367117],[-0.33333333],11,15
410,[-0.09677410500846027],[8.79798945e-09],12,15
411,[-0.45161294749576997],[8.79798945e-09],13,15
412,[0.032258027115642574],[8.79798945e-09],14,15
413,[-0.06451621986201077],[8.79798945e-09],15,15
414,[-0.32258049594098254],[8.79798945e-09],16,15
415,[-0.6774193502590583],[-0.6666667],17,15
416,[0.2903225989637667],[0.33333333],18,15
417,[-0.5483871944734233],[8.79798945e-09],19,15
418,[0.1290322977548281],[0.33333333],20,15
419,[-0.38709688143371856],[8.79798945e-09],21,15
420,[-0.5483871944734233],[8.79798945e-09],22,15
421,[-0.22580655064786465],[-0.33333333],23,15
422,[-0.45161294749576997],[8.79798945e-09],24,15
423,[-0.7096775430054263],[8.79798945e-09],25,15
424,[-0.7096775430054263],[8.79798945e-09],0,16
425,[0.41935475474940176],[0.33333333],1,16
426,[0.32258079171013476],[0.6666667],2,16
427,[0.32258079171013476],[0.6666667],3,16
428,[0.41935475474940176],[0.33333333],4,16
429,[-0.6451611575126903],[-0.33333333],5,16
430,[-0.1612901710705117],[-0.33333333],6,16
431,[-0.7096775430054263],[8.79798945e-09],7,16
432,[-0.5161290253885875],[-0.33333333],8,16
433,[-0.419354754749402],[-0.33333333],9,16
434,[-0.4838708326422195],[8.79798945e-09],10,16
435,[0.48387114024213784],[0.33333333],11,16
436,[-0.5806450796198728],[-0.33333333],12,16
437,[-0.3548386886873506],[-0.33333333],13,16
438,[0.5161290017270551],[8.79798945e-09],14,16
439,[-0.03225803894640886],[8.79798945e-09],15,16
440,[0.09677410500846007],[-0.6666667],16,16
441,[0.1290322977548281],[0.33333333],17,16
442,[-0.2903226226252991],[-0.33333333],18,16
443,[0.09677410500846007],[8.79798945e-09],19,16
444,[0.48387114024213784],[-0.6666667],20,16
445,[-0.5483871944734233],[-0.33333333],21,16
446,[-0.7741935972367117],[-0.6666667],22,16
447,[-0.6129032960277729],[8.79798945e-09],23,16
448,[-0.5806450796198728],[8.79798945e-09],24,16
449,[-0.6129032960277729],[-0.33333333],25,16
450,[-0.7741935972367117],[-0.33333333],0,17
451,[-0.4838708326422195],[8.79798945e-09],1,17
452,[-0.5806450796198728],[-0.33333333],2,17
453,[-0.5806450796198728],[-0.33333333],3,17
454,[-0.38709688143371856],[8.79798945e-09],4,17
455,[-0.03225803894640886],[-0.33333333],5,17
456,[0.5161290017270551],[0.6666667],6,17
457,[-0.7096775430054263],[-0.6666667],7,17
458,[-0.7096775430054263],[8.79798945e-09],8,17
459,[-0.7741935972367117],[-0.33333333],9,17
460,[0.09677410500846007],[8.79798945e-09],10,17
461,[-0.4838708326422195],[-0.33333333],11,17
462,[-0.6451611575126903],[-0.33333333],12,17
463,[-0.6451611575126903],[8.79798945e-09],13,17
464,[-0.6451611575126903],[-0.33333333],14,17
465,[-0.7096775430054263],[-0.33333333],15,17
466,[-0.7419354044903437],[-0.33333333],16,17
467,[-0.7096775430054263],[-0.33333333],17,17
468,[-0.5806450796198728],[-0.33333333],18,17
469,[-0.7419354044903437],[-0.33333333],19,17
470,[-0.4838708326422195],[-0.33333333],20,17
471,[0.2903225989637667],[8.79798945e-09],21,17
472,[-0.2903226226252991],[-0.6666667],22,17
473,[-0.7419354044903437],[-0.33333333],23,17
474,[-0.6129032960277729],[-0.33333333],24,17
475,[-0.38709688143371856],[-0.6666667],25,17
476,[-0.2903226226252991],[-0.33333333],0,18
477,[-0.5161290253885875],[8.79798945e-09],1,18
478,[-0.19354836085918817],[-0.33333333],2,18
479,[0.032258027115642574],[0.33333333],3,18
480,[-0.6129032960277729],[-0.33333333],4,18
481,[-0.45161294749576997],[8.79798945e-09],5,18
482,[1.5379995915720812e-07],[0.33333333],6,18
483,[-0.5483871944734233],[-0.33333333],7,18
484,[-0.03225803894640886],[-0.33333333],8,18
485,[-0.5483871944734233],[-0.33333333],9,18
486,[-0.5483871944734233],[-0.33333333],10,18
487,[-0.03225803894640886],[-0.33333333],11,18
488,[-0.03225803894640886],[-0.33333333],12,18
489,[-0.6451611575126903],[8.79798945e-09],13,18
490,[1.5379995915720812e-07],[0.33333333],14,18
491,[-0.6451611575126903],[8.79798945e-09],15,18
492,[-0.22580655064786465],[8.79798945e-09],16,18
493,[-0.7741935972367117],[-0.33333333],17,18
494,[-0.45161294749576997],[8.79798945e-09],18,18
495,[-0.6451611575126903],[8.79798945e-09],19,18
496,[-0.45161294749576997],[8.79798945e-09],20,18
497,[-0.7741935972367117],[-0.33333333],21,18
498,[-0.7096775430054263],[-0.6666667],22,18
499,[-0.4838708326422195],[8.79798945e-09],23,18
500,[-0.5161290253885875],[8.79798945e-09],24,18
501,[-0.6774193502590583],[8.79798945e-09],25,18
502,[-0.6774193502590583],[8.79798945e-09],0,19
503,[-0.6774193502590583],[8.79798945e-09],1,19
504,[-0.6774193502590583],[8.79798945e-09],2,19
505,[-0.4838708326422195],[8.79798945e-09],3,19
506,[1.5379995915720812e-07],[0.33333333],4,19
507,[-0.4838708326422195],[8.79798945e-09],5,19
508,[-0.7741935972367117],[-0.33333333],6,19
509,[-0.22580655064786465],[-0.33333333],7,19
510,[0.09677410500846007],[0.33333333],8,19
511,[-0.45161294749576997],[8.79798945e-09],9,19
512,[-0.7741935972367117],[-0.33333333],10,19
513,[0.06451621986201056],[8.79798945e-09],11,19
514,[0.48387114024213784],[0.33333333],12,19
515,[-0.06451621986201077],[0.33333333],13,19
516,[-0.06451621986201077],[0.33333333],14,19
517,[-0.3548386886873506],[-0.33333333],15,19
518,[-0.3548386886873506],[-0.6666667],16,19
519,[-0.419354754749402],[-1.],17,19
520,[-0.7741935972367117],[-0.33333333],18,19
521,[0.19354835198611342],[-1.],19,19
522,[-0.5806450796198728],[8.79798945e-09],20,19
523,[-0.4838708326422195],[0.6666667],21,19
524,[-0.03225803894640886],[0.33333333],22,19
525,[-0.03225803894640886],[0.33333333],23,19
526,[0.2258065447324814],[8.79798945e-09],24,19
527,[0.09677410500846007],[-0.6666667],25,19
528,[-0.2903226226252991],[8.79798945e-09],0,20
529,[-0.7096775430054263],[-0.33333333],1,20
530,[-0.2903226226252991],[-0.33333333],2,20
531,[-0.4838708326422195],[8.79798945e-09],3,20
532,[-0.1612901710705117],[8.79798945e-09],4,20
533,[-0.7096775430054263],[-0.33333333],5,20
534,[-0.6129032960277729],[8.79798945e-09],6,20
535,[-0.45161294749576997],[-0.33333333],7,20
536,[-0.45161294749576997],[8.79798945e-09],8,20
537,[-0.45161294749576997],[8.79798945e-09],9,20
538,[-0.6129032960277729],[8.79798945e-09],10,20
539,[-0.45161294749576997],[-0.33333333],11,20
540,[-0.5806450796198728],[-0.33333333],12,20
541,[-0.6774193502590583],[-0.33333333],13,20
542,[-0.5161290253885875],[-0.33333333],14,20
543,[-0.419354754749402],[8.79798945e-09],15,20
544,[-0.419354754749402],[8.79798945e-09],16,20
545,[-0.1612901710705117],[-0.33333333],17,20
546,[-0.1612901710705117],[-0.6666667],18,20
547,[0.41935475474940176],[0.33333333],19,20
548,[0.48387114024213784],[0.6666667],20,20
549,[0.3870968932644845],[0.6666667],21,20
550,[-0.19354836085918817],[-0.6666667],22,20
551,[-0.5806450796198728],[-0.33333333],23,20
552,[-0.7419354044903437],[-0.33333333],24,20
553,[-0.7419354044903437],[-0.33333333],25,20
554,[-0.45161294749576997],[8.79798945e-09],0,21
555,[-0.6774193502590583],[0.33333333],1,21
556,[-0.6774193502590583],[0.33333333],2,21
557,[-0.6774193502590583],[0.33333333],3,21
558,[-0.6774193502590583],[0.33333333],4,21
559,[-0.19354836085918817],[8.79798945e-09],5,21
560,[-0.6451611575126903],[-0.33333333],6,21
